□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,
계약일자 : 20191101 ~ 20201031,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,,,,,,
시군구 : 진주시,,,,,,,,,,,,,,,
읍면동 : 가좌동,,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,
시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
경상남도 진주시 가좌동,1***,-,12,월세,202003,5,"1,500",25,null,null,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,12,월세,202001,19,200,36,2019,가좌길60번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,12,월세,202002,25,200,37,2018,가좌길48번길,-,-,-,,
경상남도 진주시 가좌동,1***,25m미만,12,월세,202002,26,"1,500",25,2015,가좌길,-,-,-,,
경상남도 진주시 가좌동,5**,12m미만,12.01,월세,202002,20,900,61,2006,진주대로500번길,-,-,-,,
경상남도 진주시 가좌동,1***,-,12.88,월세,201912,11,"4,500",7,1989,null,-,-,-,,
경상남도 진주시 가좌동,1***,-,12.88,월세,201912,18,"4,500",7,1989,null,-,-,-,,
경상남도 진주시 가좌동,1***,-,12.88,전세,202001,23,"4,500",0,1989,null,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,13.2,월세,202002,25,300,34,2016,가좌길48번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,14.85,월세,202002,1,300,38,2019,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,월세,202002,1,300,35,2015,가좌길60번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,15,월세,202002,1,500,40,2010,개양로5번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,월세,202003,11,500,40,2016,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,월세,202007,14,100,25,1987,가좌길40번길,-,-,-,,
경상남도 진주시 가좌동,8**,8m미만,15,월세,201911,28,"5,000",3,2015,가좌길29번길,-,-,-,,
경상남도 진주시 가좌동,8**,8m미만,15,전세,201912,24,"5,000",0,2015,가좌길29번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15,전세,201912,27,"5,000",0,2017,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,15.53,전세,202002,14,"5,000",0,2018,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16,월세,202002,1,300,38,2017,가좌길60번길,-,-,-,,
경상남도 진주시 가좌동,7**,-,16,월세,202003,21,300,35,2020,진주대로,-,-,-,,
경상남도 진주시 가좌동,7**,-,16,전세,202004,1,"5,000",0,2020,null,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16,전세,202001,22,"4,000",0,2015,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,7**,-,16,전세,202003,25,"5,000",0,2020,진주대로,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16.5,월세,202002,2,200,27,1990,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,16.52,월세,202002,20,200,32,2015,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,17,월세,202002,1,"2,000",23,1987,가좌길60번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,17,월세,202002,3,"4,500",2,2010,개양로6번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,17,월세,201912,7,"5,000",5,2017,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,17,월세,202002,10,"4,000",5,2016,가좌길78번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,17,월세,201911,12,500,66,2019,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,17,월세,202001,13,"6,000",5,2019,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,18,월세,202003,16,300,37,2010,개양로,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,18,월세,201911,17,"5,000",5,2018,가좌길44번길,-,-,-,,
경상남도 진주시 가좌동,4**,12m미만,18,월세,201912,28,300,37,2015,개양로13번길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,18,월세,201912,31,300,35,2017,가좌길,-,-,-,,
경상남도 진주시 가좌동,1***,8m미만,18,전세,202008,20,"5,500",0,2018,가좌길44번길,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,18,전세,202002,24,"5,000",0,2019,가좌길36번길,-,-,-,,
경상남도 진주시 가좌동,6**,-,18.33,전세,202002,3,"3,000",0,2015,null,-,-,-,,
경상남도 진주시 가좌동,6**,8m미만,18.33,전세,202002,5,"3,000",0,2015,가호로4번길,-,-,-,,
경상남도 진주시 가좌동,6**,-,18.33,전세,201912,20,"3,500",0,2015,null,-,-,-,,
경상남도 진주시 가좌동,1***,12m미만,18.4,월세,202002,24,"4,500",5,1989,가좌길36번길,-,-,-,,
