"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131101"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201305","17","9,450","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201306","3","11,000","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201306","16","11,400","4","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201306","18","7,000","3","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201306","19","7,100","9","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201306","27","11,350","8","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201307","1","8,000","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201307","13","8,200","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201307","19","11,800","6","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201307","21","11,800","15","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","44.94","201307","22","8,700","5","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201308","3","11,600","13","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","49.94","201308","8","11,500","14","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","41.3","201308","11","9,650","7","1993","가호로 26","","-","-"
"경상남도 진주시 가좌동","660","0660","0000","가좌주공1차","38.64","201308","13","7,450","2","1993","가호로 26","","-","-"
